,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales,diff
2833,52000010978,0,1427.44,34,115,3573.88,2146.44
2834,52000010978,0,1722.22,35,100,3542.39,1820.17
2835,52000010978,0,1592.27,36,0,6.27,-1586
2836,52000010978,0,2387.97,37,0,0,-2387.97
2837,52000010978,0,1280.98,38,0,0,-1280.98
2838,52000010978,0,1068.16,39,0,-23.78,-1091.94
2839,52000010978,0,1893.18,40,0,0,-1893.18
2840,52000010978,0,1877.24,41,0,0,-1877.24
2841,52000010978,0,663.82,42,0,0,-663.82
2842,52000010978,0,702.12,43,0,0,-702.12
2843,52000010978,0,941,44,0,0,-941
2862,52000340242,0,181.52,27,42,798.14,616.62
2863,52000340242,0,191.01,28,70,969.65,778.64
2864,52000340242,0,191.08,29,52,870.63,679.55
2865,52000340242,0,211.71,30,50,694.81,483.1
2866,52000340242,0,281.4,31,64,826.86,545.46
2867,52000340242,0,524.34,32,55,903.72,379.38
2868,52000340242,0,286.8,33,72,1228.04,941.24
2869,52000340242,0,638.01,34,52,862.27,224.26
2870,52000340242,0,388.73,35,78,752.04,363.31
2871,52000340242,0,356.12,36,58,1047.62,691.5
2872,52000340242,0,421.56,37,71,1059.03,637.47
2873,52000340242,0,363.31,38,81,853.84,490.53
2874,52000340242,0,259.83,39,62,549.59,289.76
2875,52000340242,0,300.97,40,4,206.32,-94.65
2876,52000340242,0,372.99,41,0,399.9,26.91
2877,52000340242,0,405.02,42,0,206.91,-198.11
2878,52000340242,0,470.62,43,0,263.42,-207.2
2879,52000340242,0,290.07,44,0,263.29,-26.78
