,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales
288,12000161155,0.0,0.0,27,0.0,1.12
289,12000161155,0.0,0.0,28,0.0,22.01
290,12000161155,0.0,0.0,29,0.0,10.43
291,12000161155,0.0,0.0,30,0.0,7.23
292,12000161155,0.0,0.0,31,0.0,33.94
293,12000161155,0.0,0.0,32,0.0,20.12
294,12000161155,0.0,0.0,33,0.0,25.05
295,12000161155,0.0,0.0,34,2.0,28.88
296,12000161155,0.0,0.0,35,1.0,19.03
297,12000161155,0.0,0.0,36,0.0,14.69
298,12000161155,0.0,0.0,37,0.0,32.22
299,12000161155,0.0,0.0,38,0.0,16.03
300,12000161155,0.0,0.0,39,0.0,15.9
301,12000161155,0.0,8.54,40,0.0,28.43
302,12000161155,0.0,34.13,41,0.0,23.29
303,12000161155,0.0,1.06,42,0.0,17.85
304,12000161155,0.0,0.0,43,0.0,5.74
305,12000161155,0.0,0.0,44,0.0,30.25
306,12000163241,0.0,0.0,27,0.0,34.25
307,12000163241,0.0,0.0,28,0.0,40.54
308,12000163241,0.0,0.0,29,0.0,62.91
309,12000163241,0.0,0.0,30,0.0,20.62
310,12000163241,0.0,0.0,31,0.0,34.25
311,12000163241,0.0,0.0,32,0.0,34.8
312,12000163241,0.0,0.0,33,0.0,20.63
313,12000163241,0.0,0.0,34,0.0,13.28
314,12000163241,0.0,0.0,35,1.0,26.25
315,12000163241,0.0,0.0,36,0.0,94.71
316,12000163241,0.0,0.0,37,2.0,1.05
317,12000163241,0.0,0.0,38,0.0,33.55
318,12000163241,0.0,0.0,39,0.0,81.42
319,12000163241,0.0,0.0,40,0.0,33.55
320,12000163241,0.0,0.0,41,0.0,26.95
321,12000163241,0.0,13.3,42,0.0,68.15
322,12000163241,0.0,6.71,43,0.0,0.0
323,12000163241,0.0,6.99,44,0.0,33.34
324,12000171437,0.0,0.0,27,0.0,0.0
325,12000171437,0.0,0.0,28,0.0,22.48
326,12000171437,0.0,0.0,29,0.0,30.45
327,12000171437,0.0,0.0,30,0.0,33.06
328,12000171437,0.0,0.0,31,0.0,9.99
329,12000171437,0.0,0.0,32,0.0,6.33
330,12000171437,0.0,0.0,33,0.0,10.51
331,12000171437,0.0,0.0,34,0.0,3.16
332,12000171437,0.0,0.0,35,0.0,3.51
333,12000171437,0.0,0.0,36,1.0,32.6
334,12000171437,0.0,0.0,37,1.0,9.17
335,12000171437,0.0,0.0,38,2.0,12.64
336,12000171437,0.0,0.0,39,0.0,9.99
337,12000171437,0.0,0.0,40,0.0,3.51
338,12000171437,0.0,0.0,41,0.0,14.0
339,12000171437,0.0,0.0,42,0.0,14.18
340,12000171437,0.0,0.0,43,0.0,15.89
341,12000171437,0.0,0.0,44,0.0,10.95
342,12000171444,0.0,0.0,27,0.0,136.14
343,12000171444,0.0,0.0,28,0.0,166.38
344,12000171444,0.0,0.0,29,0.0,179.92
345,12000171444,0.0,0.0,30,0.0,201.32
346,12000171444,0.0,0.0,31,0.0,163.99
347,12000171444,0.0,0.0,32,0.0,211.1
348,12000171444,0.0,0.0,33,0.0,127.59
349,12000171444,0.0,0.0,34,0.0,260.66
350,12000171444,0.0,0.0,35,0.0,149.77
351,12000171444,0.0,0.0,36,1.0,453.3
352,12000171444,0.0,0.0,37,2.0,207.87
353,12000171444,0.0,0.0,38,3.0,191.83
354,12000171444,0.0,0.0,39,9.0,174.62
355,12000171444,0.0,0.0,40,20.0,202.42
356,12000171444,0.0,0.0,41,10.0,190.89
357,12000171444,0.0,0.0,42,6.0,217.6
358,12000171444,0.0,0.0,43,0.0,302.74
359,12000171444,0.0,0.0,44,0.0,214.01
360,12000171451,0.0,0.0,27,0.0,156.35
361,12000171451,0.0,0.0,28,40.0,188.91
362,12000171451,0.0,0.0,29,15.0,169.78
363,12000171451,0.0,0.0,30,9.0,186.04
364,12000171451,0.0,0.0,31,4.0,189.58
365,12000171451,0.0,0.0,32,9.0,128.29
366,12000171451,0.0,0.0,33,9.0,150.32
367,12000171451,0.0,0.0,34,28.0,225.19
368,12000171451,0.0,0.0,35,53.0,285.18
369,12000171451,0.0,0.0,36,18.0,504.43
